Energy Abs,Absorbance,18,Energy Idler,Power,Efficiency (x10^-10),,Energy Theory,Theory
2.49E+00,5.39E-02,0.9702,1.87E+00,2.46E-01,1.94E-01,,2.32E+00,4.80E-01
2.49E+00,5.36E-02,0.9648,1.89E+00,4.43E-01,3.49E-01,,2.32E+00,4.80E-01
2.49E+00,5.35E-02,0.963,1.92E+00,5.50E-01,4.33E-01,,2.32E+00,4.81E-01
2.49E+00,5.34E-02,0.9612,1.95E+00,4.20E-01,3.31E-01,,2.32E+00,4.81E-01
2.48E+00,5.32E-02,0.9576,1.97E+00,4.55E-01,3.58E-01,,2.32E+00,4.82E-01
2.48E+00,5.30E-02,0.954,2.00E+00,4.73E-01,3.73E-01,,2.32E+00,4.82E-01
2.48E+00,5.28E-02,0.9504,2.02E+00,5.10E-01,4.01E-01,,2.32E+00,4.83E-01
2.48E+00,5.27E-02,0.9486,2.04E+00,6.22E-01,4.90E-01,,2.32E+00,4.83E-01
2.47E+00,5.26E-02,0.9468,2.07E+00,6.37E-01,5.01E-01,,2.32E+00,4.84E-01
2.47E+00,5.23E-02,0.9414,2.09E+00,6.51E-01,5.13E-01,,2.32E+00,4.84E-01
2.47E+00,5.21E-02,0.9378,2.11E+00,5.15E-01,4.05E-01,,2.32E+00,4.85E-01
2.47E+00,5.19E-02,0.9342,2.13E+00,5.01E-01,3.94E-01,,2.32E+00,4.86E-01
2.46E+00,5.18E-02,0.9324,2.15E+00,5.34E-01,4.21E-01,,2.32E+00,4.86E-01
2.46E+00,5.17E-02,0.9306,2.16E+00,5.51E-01,4.34E-01,,2.32E+00,4.87E-01
2.46E+00,5.14E-02,0.9252,2.18E+00,4.59E-01,3.62E-01,,2.32E+00,4.87E-01
2.46E+00,5.13E-02,0.9234,2.20E+00,3.08E-01,2.42E-01,,2.32E+00,4.88E-01
2.45E+00,5.12E-02,0.9216,2.21E+00,4.19E-01,3.30E-01,,2.32E+00,4.88E-01
2.45E+00,5.10E-02,0.918,2.23E+00,7.19E-01,5.66E-01,,2.32E+00,4.89E-01
2.45E+00,5.08E-02,0.9144,2.24E+00,7.13E-01,5.61E-01,,2.32E+00,4.89E-01
2.45E+00,5.08E-02,0.9144,2.26E+00,7.24E-01,5.70E-01,,2.32E+00,4.90E-01
2.44E+00,5.05E-02,0.909,2.27E+00,7.51E-01,5.91E-01,,2.31E+00,4.90E-01
2.44E+00,5.04E-02,0.9072,,,,,2.31E+00,4.91E-01
2.44E+00,5.02E-02,0.9036,,,,,2.31E+00,4.91E-01
2.44E+00,5.00E-02,0.9,,,,,2.31E+00,4.92E-01
2.43E+00,4.99E-02,0.8982,,,,,2.31E+00,4.92E-01
2.43E+00,4.97E-02,0.8946,,,,,2.31E+00,4.93E-01
2.43E+00,4.95E-02,0.891,,,,,2.31E+00,4.93E-01
2.43E+00,4.93E-02,0.8874,,,,,2.31E+00,4.94E-01
